title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
"Furnished 4bdrm Bungalow in Rumughaolu, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,90000000.0,enterprise,490.0,4.0,4.0,Furnished
"4bdrm Bungalow in Akar Rd Off Iwofe, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,85000000.0,enterprise,560.0,4.0,5.0,Semi-Furnished
"4bdrm Bungalow in Nta Rd, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,560.0,4.0,5.0,Semi-Furnished
"6bdrm Duplex in Diamond City, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),150000000.0,enterprise,450.0,6.0,7.0,Unfurnished
3bdrm Apartment in Jahi for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),170000000.0,enterprise,180.0,3.0,4.0,Unfurnished
6bdrm Duplex in Guzape Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),800000000.0,enterprise,700.0,6.0,7.0,Semi-Furnished
Furnished 4bdrm Duplex in Guzape Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),400000000.0,enterprise,,4.0,5.0,Furnished
5bdrm Duplex in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),3500000000.0,enterprise,1300.0,5.0,5.0,Semi-Furnished
6bdrm Duplex in Guzape Main Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),550000000.0,enterprise,3000.0,6.0,7.0,Semi-Furnished
Furnished 5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),570000000.0,enterprise,,5.0,5.0,Furnished
"5bdrm Duplex in Asokoro Main, Guzape District for sale","Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),1200000000.0,enterprise,1000.0,5.0,5.0,Semi-Furnished
6bdrm Duplex in Guzape Main Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),1200000000.0,enterprise,1200.0,6.0,7.0,Semi-Furnished
"4bdrm Duplex in Hrc Estate, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,250000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
"Furnished 4bdrm Duplex in Shell Co Operative, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,220000000.0,enterprise,500.0,4.0,4.0,Furnished
"Furnished 4bdrm Duplex in Harmony Estates Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,470000000.0,enterprise,689.0,4.0,4.0,Furnished
"Furnished 3bdrm Duplex in Shell Co Operative, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,180000000.0,enterprise,450.0,3.0,3.0,Furnished
"Furnished 3bdrm Duplex in Shell Co Operative, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,170000000.0,enterprise,358.0,3.0,3.0,Furnished
"Furnished 4bdrm Bungalow in New Rd Off Ada, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,985.0,4.0,4.0,Furnished
"4bdrm Duplex in Gitto Estate East, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,200000000.0,enterprise,450.0,4.0,5.0,Semi-Furnished
"Furnished 5bdrm Duplex in Opposite Laritel Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,560.0,5.0,5.0,Furnished
"2bdrm Block of Flats in Ozuoba Ph, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,90000000.0,enterprise,468.0,2.0,2.0,Semi-Furnished
"Furnished 4bdrm Duplex in Majesty Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,490.0,4.0,4.0,Furnished
4bdrm Duplex in Gaduwa for sale,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),590000000.0,enterprise,600.0,4.0,5.0,Unfurnished
"3bdrm Bungalow in Not Inside An, Kuje for sale","Abuja (FCT), Kuje",Kuje,Abuja (FCT),90000000.0,enterprise,1000.0,3.0,4.0,Unfurnished
"5bdrm Duplex in Diplomatic Zone, Katampe Extension for sale","Katampe, Katampe Extension",Katampe Extension,Katampe,350000000.0,enterprise,500.0,5.0,6.0,Unfurnished
6bdrm House in Yakoyo/Alagbole for sale,"Ojodu, Yakoyo/Alagbole",Yakoyo/Alagbole,Ojodu,50000000.0,False,600.0,6.0,6.0,Unfurnished
5bdrm Duplex in Guzape Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),700000000.0,enterprise,500.0,5.0,5.0,Semi-Furnished
4bdrm Duplex in Jabi Lakeview Abuja for sale,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),650000000.0,enterprise,3000.0,4.0,5.0,Semi-Furnished
5bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,500000000.0,enterprise,700.0,5.0,5.0,Semi-Furnished
Furnished 6bdrm Duplex in Apo By Nepa Junction for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),600000000.0,enterprise,725.0,6.0,5.0,Furnished
5bdrm Duplex in Guzape Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),550000000.0,enterprise,3000.0,5.0,6.0,Semi-Furnished
"7bdrm Duplex in Efab Metropolis, Karsana for sale","Gwagwa, Karsana",Karsana,Gwagwa,550000000.0,enterprise,1000.0,7.0,8.0,Semi-Furnished
